# salmonsen/2/7/Articles.lst
#
index|Titel och innehåll|0001 0003
|Fabrikafdelingen (Søv.), en under Chefen for Orlogsværftet henhørende tekn. Afdeling|0690
|Fabrikant, Fabrikbesidder, den, der driver Fabrikvirksomhed.|0690
|Fabrikat, Genstand tilvirket paa en Fabrik.|0690
|Fabrikation, Tilvirkning af Fabrikater; fabrikere, at tilvirke noget fabriksmæssig.|0690
|Fabrikguld, se Bladguld.|0690
|Fabrikhygiejne|0690-0692
|Fabrikindustri er i Nutiden i al Alm. den herskende industrielle Bedriftsform|0692-0694
|Fabrikingeniør kaldes de Ingeniører, uddannede ved Polyteknisk Læreanstalt, hvis Hovedfag er Kemiens tekniske Anvendelse|0694
|Fabrikinspektion, se Arbejderbeskyttelseslovgivning.|0694
|Fabriklovgivning, se Arbejderbeskyttelseslovgivning.|0694
|Fabrikmester (Søv.) en tidligere Betegnelse for den øverste tekn. Leder paa  662 Orlogsværftet|0694
|Fabrikplanter, Planter, der afgiver Raamateriale for Fabrikvirksomhed|0694
|Fabriks- og Handelsmærker, se Varemærker.|0694
|Fabriksparekasse, se Sparekasse.|0694
|Fabriksygekasse, se Sygekasse.|0694
|Fabriktilsyn, se Arbejderbeskyttelseslovgivning.|0694
|Fabrikvask, se Uld.|0694
|Fabris, Emilio de, ital. Arkitekt, (1808-1883)|0694-0695
|Fabris, Jacopo, Maler, (c.1689-1761)|0695
|Fabritius (F.-Tengnagel), gl Slægt|0695
|Fabritius, Barent, holl. Maler. (-e.1672)|0695
|Fabritius, Carel, holl. Maler, (c.1624-1654)|0695
|Fabroni, Angelo, ital. Litteraturhistoriker og Historiker, (1732-1803) |0695-0696
|fabula (lat.), opdigtet Fortælling, Fabel; Skuespil1 (egtl. f. scenica)|0696
|fabula docet (lat.), Fabelen lærer ... *c: Moralen af Historien er|0696
|fabulere (lat.), fable, fortælle Fabler, opdigte, snakke hen i Vejret|0696
|Fabvier, Charles Nicolas, Baron, fr. General (1782-1855)|0696
|Façade, (ital. facciata. Forside) er Benævnelsen paa Forsiden af en Bygning|0696
|facchino (ital.), Lastdrager, Sjover, ogsaa en udstoppet Figur (Straamand), endelig Laps, Slyngel, Gavtyv|0696
|Facciolati, Jacopo, ital. Filolog, (1682-1769)|0696
|Faccioli, Carlo, ital. Forf., (1840-1904)|0696
|face (fr.), Ansigt, Forside, en f., forfra, saaledes at hele Forsiden af Ansigtet ses.|0696
|Facellit, d. s. s. Kaliofilit.|0696
|Facer kaldes i et Befæstningsanlæg, hvis Grundrids er ført efter brudte Linier|0696
|Facetblokke, Sten, der ved en Gletschers Bevægelse er blevne planslebne paa fl. Sider|0696
|facetiæ (lat.), vittige Indfald, Spøg|0696
|Facetter, de navnlig ved Slibning af Glas og Ædelstene frembragte smaa, mod hverandre hældende Flader|0696
|Fachingen, lille By i Hertugdømmet Hessen-Nassau i den romantiske Lhan-Dal ved venstre Bred af Lhan, knap 20 km fra Ems|0696-0697
|Fachr-ed-din ar-Râzi, med Tilnavnet Ibn-al-Chatib, berømt muhammedansk Teolog og Filosof, (1149-1209)|0697
|facialis (lat.), det af facies, Ansigt, dannede Adjektiv|0697
|Facialisparese, Lammelse af Ansigtsmusklerne|0697
|faciebat (lat. o: »han gjorde«, »udførte«), Tilføjelse, træffes paa Malerier, Kobberstik etc. efter Kunstnernavnet|0697
|Facies (lat.: Skikkelse, Udseende). i Geologien om forskellige F. inden for et Tidsafsnits sedimentære Aflejringer|0697
|Facies betyder i Anatomien dels Ansigtet, dels en mere ell. mindre plan Overflade, navnlig af en Knogle.|0697
|Facies Hippocratica ell. abdominalis, de skarpe, indfaldne Ansigtstræk, som iagttages hos Patienter med Ernæringssygdomme|0697
|facil (af lat.), let, forekommende, omgængelig; Facilitet, Lethed, Omgængelighed.|0697
|facilis descensus Averno (lat.) *c: det er let at stige ned i Underverdenen|0697
|facio ut des (lat.), egl. jeg gør (noget), for at du skal give (noget andet som Vederlag)|0697
|Facit (lat.), »det udgør«, bruges som Betegnelse for Resultatet af en Regning.|0697
|facit indignatio versum (lat.), Harmen skaber Verset|0697
|Facius, Georg Sigmund og Johann Gottlieb, tyske Kobberstikkere i Punktermaner,( -o.1800)|0697
|Façon, ydre Form og Udseende, Maade, Anstand, Levemaade. I Flertal (façons), Omstændigheder, Omsvøb|0697
|Façondrejebænk, Drejebænk særlig indrettet til Façondrejning, se Drejemaskine.|0697
|Façonjern, se Profiljern.|0697
|façonnerede Stoffer, alle Stoffer med smaa ivævede Mønstre.|0697
|Façonstaal, Høvle- ell. Drejestaal, hvis Eg ikke er retliniet, men krum|0697-0698
|Façonvine, Vine, der helt eller delvis er fremstillede af Vand, Alkohol, Æterarter o. l.|0698
|Facsimile, se Faksimile.|0698
|Fact.... (i Sammensætninger) se Fakt...|0698
|facta, facto, se factum.|0698
|Factory weight, se Faktorivægt.|0698
|factum (lat., plur. facta), det, der er gjort, sket; Handling, Kendsgerning|0698
|facultas (lat.), Evne, Dygtighed, f. dicendi, Talerbegavelse.|0698
|Fad, ældre Hulmaal, der tidligere anvendtes i Danmark, Hertugdømmerne og Norge til Vin og Brændevin|0698
|fad (af lat. fatuus), dum, taabelig, flov.|0698
|Faddere (sponsores, fideijussores, Daabsvidner) kaldes de, der bærer Barnet til Daaben|0698
|Faddjejef Ø [, se Nysibiriske Øer.|0698
|Fadebur, Klædekammer, Forraadshus; en isolerede Træbygninger, som i nordisk Middelalder dannede Gaardkomplekset|0698
|Fadejev, Rostislaff Andrejevitsch, russ. General og Militærforfatter, (1826-1884)|0698-0699
|Fadelænge (Søv.), en svær Tovbugt, som med et Løbeøje smøges over et Fad, en Tønde e. l.|0699
|faderlig Myndighed,  se Børn S. 436 ff.|0699
|Fadermord. Den, der forsætlig dræber en Slægtning i opstigende Linie, straffes efter dansk Ret|0699
|Fadermordere (tysk Vatermörder). I Beg. af 19. Aarh. forsynedes Herrernes Skjorter med store Halskraver|0699
|Fadervor er den Bøn, som Jesus efter Evangeliernes Beretning har lært sine Disciple at bede|0699-0700
|Fadeværk (Søv.) Fællesbetegnelse for alle Arter af Tønder, Fustager og Baljer, der forefindes om Bord|0700
|Fading er af en Vogn Træværket, der hviler paa Fjedrene ell. Akslerne|0700
|Fadæse (fr.), Dumhed, Taabelighed.|0700
|Faed, |0700
|1) John, skotsk Maler, (1820-1902)|0700
|2) Thomas,  skotsk Maler, (1826-1900)|0700
|Faenza, By i Norditalien, Prov. Ravenna, ligger 30 km SV. f. Ravenna|0700
|Faes, Pieter van der, se Lely.|0700
|Faeton (gr.: »den lysende«), |0700
|1) Tilnavn til Solguden og Solen; |0700
|2) Søn af Solguden og Klymene, Okeanos' Datter og Merops' Hustru|0700
|Faeton (gr.), let, firhjulet Vogn med Kuskesæde og Bagsæde|0700
|Fafner, Slange; Fafnesbane, Tilnavn til Sigurd; se Faavne.|0700
|Fáfnismál, et af Heltedigtene i den ældre Edda|0700
|Fag, den Del af en Bindingsværksvæg, som begrænses af Stolpe, Baand ell. Fodstykke|0700
|Fagales, se Bøgeordenen.|0700
|Fagdannelse, hvor en planmæssig Paavirkning gaar ud paa at uddanne Individet for et særligt Kald|0700-0701
|fagedænisk (gr.), ædende, om sig gribende (om Saar)|0701
|Fagel, nederlandsk Familie,|0701
|1) Gaspard F. (1629-88)|0701
|2) François Nicolas, Baron F. (1645-1718), tysk Rigsfeltmarskal.|0701
|3) Hendrik, Baron F. (1765-1838), Ambassadør og Statsminister|0701
|4) Robert, Baron F. (1771-1856), General|0701
|fager (smuk) er i Sammensætninger i norske Steds- og Gaardsnavne meget alm. og antyder altid en naturskøn Beliggenhed|0701
|Fagergaas (norsk), d. s. s. Gravand.|0701
|Fagerlin, Ferdinand Julius, sv. Genremaler, (1825-1907)|0701
|Fagforeninger. Sammenslutninger af Arbejdere inden for et bestemt Fag til Varetagelse af deres Interesser|0701-0710
|fagging system, en paa flere Skoler i England indført Skik, der giver Disciplene i Skolens øverste Klasse et vist Privilegium|0710
|Faggot, Jakob, sv. Videnskabsmand, (1699-1777)|0710
|Fagiuoli, Giovanni Battista, ital, Forf., (1660-1742)|0710
|Fagne (flamsk Venn), Landskab i den sydlige Del af de belg. Prov. Hennegau og Namur, mellem Floderne Maas og Sambre|0710
|Fagocytose, det Fænomen, at de hvide Blodlegemer og Bindevævsceller  er i Stand til at optage korpuskulare Elementer|0710
|Fagopyrisme. En ejendommelig Forgiftning efter Nydelse af Boghvede, der af og til iagttages hos Faar og Svin|0710
|Fagopyrum, se Boghvede.|0710
|Fagot (ital. fagotto, ir. basson, eng. bassoon), et Træblæseinstrument med dobbelt Rørblad|0710-0711
|Fagot betyder i Skovbruget den Slags Favnebrænde, som bestaar af runde (ukløvede) Stykker af Stamme ell. Grene|0711
|Fagrskinna, »den smukke Skindbog«, kaldtes af Torfæus et Haandskrift af en særlig Bearbejdelse af de norske Kongers Sagaer|0711
|Faguet, Emile, fr. Litteraturhistoriker, (1847-1916)|0711
|Fagus L. (Bøg), Slægt af Skaalfrugtfam., Træer med toradede, langs Sidenerverne foldede Blade og affaldende Akselblade|0711-0712
|Fagvidenskab kaldes den Videnskab, hvis Studium er nødvendigt for at opnaa en bestemt Stilling (Medicin, Jura, Teologi etc.).|0712
|Fagværksmetode, i Skovbruget: en Række Fremgangsmaader ved Ordningen af Hugst og Kultur paa et Skovdistrikt|0712
|Fa-hien (ell. Fa[h]-Hian), en kin. buddhistisk Munk, som gennemvandrede Indien 399-414 e. Kr.|0712
|Fahlbaand (eller Faldbaand) kaldes Skikter i lagdelte Bjergarter, i hvilke der er indsprængt Erts|0712
|Fahlbeck, Pontus Erland Andersson, sv. Sociolog og Politiker, (1850- )|0712-0713
|Fahlcrantz, |0713
|1) Karl Johan, sv. Maler, (1774-1861)|0713
|2) Axel Magnus, sv. Billedhugger, (1780-1854)|0713
|3) Christian Erik, sv. Teolog og Digter, (1790-1866)|0713
|4) Axel Erik Valerius, Maler, (1851- )|0713
|Fahllæder, se Læder.|0713
|Fahlman, Erik, Pseudonym for den sv. Forf. S. Dahlbäck.|0713
|Fahlström, Alma, f. Bosse, norsk Skuespillerinde og Sceneinstruktør, (1863- )|0713
|Fahlström, Johan Peter Broust, norsk Skuespiller og Teaterchef, (1867- )|0714
|Fahnehjelmslys. Gasglødelys|0714
|Fahrbach er Navnet paa en wiensk Komponistslægt: |0714
|1) Joseph (1804-83)|0714
|2) Wilhelm (1838-66)|0714
|3) Philip (1815-85)|0714
|4) Philip (1840-94)|0714
|Fahrenheit, Gabriel Daniel, Termometermager, (1686-1736)|0714
|Fahrenheits Termometer, se Termometer.|0714
|Fahrkunst kaldes i Bjergmandssproget en Maskine til at bringe Arbejderne op ell. ned i Gruben|0714
|Faiakere, iflg. Homer et Folk, der boede paa Øen Scheria|0714-0715
|Faiax, Erasistratos' Son, attisk Taler og Feltherre under den peloponnesiske Krig|0715
|faiblage (fr.), lovlig tilladt Mindreværdi, ved Mønter Mangel i Vægt og Finhed, Remedium (s. d.).|0715
|faible, svag; som Substantiv: Svaghed|0715
|Faidherbe, Louis Léon César, fr. General1, (1818-1889)|0715
|Faid'herbe, Lucas, nederlandsk Billedhugger og Arkitekt, (1617-1697)|0715
|Faidon fra Elis, gr. Filosof, 4. Aarh. f. Kr.|0715-0716
|Faidra, Datter af Minos og Pasifaë, Søster til Ariadne, Theseus' Hustru|0716
|faïences patriotiques, fr. Fajanceprodukter fra den store Revolutions Tid|0716
|Fraille (fr.), et af Flamlænderinderne benyttet Hovedklæde, der falder ned over Skuldrene,|0716
|Failly, Pierre Louis Charles Achilie, fr. General, (1810-1892)|0716
|Failsworth, By i det nordvestlige England, Lancashire, ligger 6 km NØ. f. Manchester|0716
|Fain, Agathon, fr. Historiker (1778-1836)|0716
|Fainarete, Filosoffen Sokrates' Moder, som var Jordemoder|0716
|fair, (eng.: »smuk«), hæderlig, passende, aaben, ærlig.|0716
|Fairbairn, William, Sir, eng. Ingeniør, (1789-1874)|0717
|Fairbairn Kedel, se Dampkedel, S. 478.|0717
|Fairfax, Thomas, eng. Feltherre, (1612-1671)|0717
|Fairfield, Navnet paa fl. Byer i U. S. A., bl. hvilke nævnes: |0717
|1) F. i Maine, ligger ved Kennebec River|0717
|2) F. i Connecticut, ligger 52 km SV. f. New Haven i Nærheden af Long Island Sound|0717
|3) F. i lowa, ligger 160 km SØ. f. Desmoines ved Big Edar River|0717
|Fairfieldit, et hvidt Mineral fra Fairfield Co. i Connecticut, bestaar af vandholdigt Kalcium-Mangan-Fosfat|0717
|Fairhaven, opblomstrende By i U. S. A., Stat Washington, ligger 190 km NNØ f. Olympki|0717
|Fair Head, se Benmore Head.|0717
|Fair-Island, Faarø, en lille, 231 m høj Klippeø, der ligger isoleret midt imellem Orkney- og Shetlands-Øerne|0717
|Fairmont, By i U. S. A., Stat West Virginia, ligger 80 km SSØ. f. Wheeling|0717
|fair play (eng.), aabent, ærligt Spil, hæderlig Handlemaade.|0717
|Fair price, se justum pretium.|0717
|Fair trade, en Handelspolitik, der uden at anse Beskyttelse for ønskelig dog træder i Modsætning til den rene Frihandel|0717-0718
|Fairweather, Mount F., Bjerg i U. S. A., Territoriet Alaska, ligger paa Grænsen til Dominion of Canada|0718
|Fais, se Feis.|0718
|Faisabad (Faizabad eller Fyzabad), |0718
|1) Division i United Prov. i britisk Ostindien|0718
|2) Distrikt i F.|0718
|3) Hovedstad i Divisionen, ligger paa Gogra-Flodens højre Bred|0718
|4) Hovedstad i Badachshan.|0718
|Faiszt, Immanuel Gottlob Friedrich, tysk Musiker og Forf. (1823-94)|0718
|fait accompli (fr.), se accompli.|0718
|Faithfull, Emily, eng. Publicist (1835-95)|0718
|Faithorne, William, to eng. Kobberstikkere, |0718
|Den ældre F. (o.1620-1691)|0718
|F. den Yngre (1656-1686)|0718
|Faja (sp.), rødt, gult ell. flerfarvet Skærf af Uld, der slynges 2-3 Gange om Livet og er en Del af Spaniernes Nationaldragt|0718
|Fajance (fr. faïencé). Hertil en farvetrykt Tavle|0718-0721 0723
|Fajancetryk, se Farveri.|0723
|Fajardo, Havnestad paa Nordsiden af Puerto Rico|0723
|Fajum, ægyptisk Prov., helt omgivet af den libyske Ørken, kun forbundet med Ægypten ved et smalt Stræde|0723
|Fakbue, se Hat (Fabrikation)|0723
|Fakih, se Beit-el-Fakih.|0723
|Fakir (arabisk *c: fattig) er en alm. forekommende Betegnelse for muhammedanske Dervisher|0723
|Fakkebjerg, en 35 m høj Bakke, der ligger c. l Sm. fra Langelands Sydspids|0723
|Fakkegrav Broer, Ø. f. Træskohage paa Nordsiden af Vejle Fjord|0723
|Fakkel, en Art stort Lys, i Stand til at brænde i fri Luft og til at føres fra et Sted til et andet uden at slukkes|0723-0724
|Fakkel (astron.), se Solen.|0724
|Fakkeldans, en Dans af polonæseagtig Karakter, under hvilken en Del af de mandlige Deltagere bar Fakler, Blus ell. Vokslys|0724
|Fakkelholdere, Metalarme med Ringe til Anbringelse af Fakler, som kunde oplyse Pladsen foran en Bygning|0724
|Fakkelløb (gr.), i Athen og andre gr. Byer et Væddeløb ved Nattetider under visse Fester|0724
|Fakkeltog, Processioner, hvis Deltagere bærer brændende Fakler|0724
|Fakning, se Hat (Fabrikation).|0724
|Fakolit. se Zeolitter.|0724
|Faks, Fakse, se Bromus.|0724
|Fakse, |0724
|1) gammelnordisk Mandsnavn. Afgudsbilleder af Navnet F. fandtes indtil 1858|0724
|2) Hestenavn (af oldn. fax, Manke); jfr. Freysfakse under Frey|0724
|Fakse, Herred i det sydøstlige Sjælland, Præstø Amt|0724-0725
|Fakse, Sogn|0725
|Fakse, By, c. 17 km NNØ. for Præstø|0725
|Fakse Bugt ell. Præstø Bugt, en paa Sjællands Sydøstkyst liggende Bugt|0725
|Fakse Fjeld, et 900-1000 m højt Fjeld-Plateau nær Grænsen af Norge og Sverige,|0725
|Faksekalk kaldes en særlig ved Fakse og Annetorp (ved Malmö) forekommende, til den danske Etage hørende Kalkstensaflejring|0725
|Fakse Ladeplads (Fakse Strand), Losse- og Ladeplads samt besøgt Badested i det sydøstlige Sjælland ved Fakse Bugt|0725
|Fakselag, en nu ikke mere brugt Betegnelse for Gerithiumkalken i Stevns Klint|0725
|Faksimile (af lat. fac simile *c: gør lignende) betegner en tro Gengivelse af noget skrevet, tegnet ell. trykt|0725-0726
|Fakta, d. s. s. facta, se factum.|0726
|Faktion (lat.), Parti, navnlig et voldsomt optrædende politisk Parti, Oprørsparti|0726
|Faktis, se Kautsjuk.|0726
|faktisk (af det lat. factum), grundet paa Kendsgerninger, virkelig, utvivlsom.|0726
|Faktitiv, se Kausativ.|0726
|Faktor (lat.) (mat.). Størrelser, der multipliceres med hverandre|0726
|Faktor (lat.), den fagligt uddannede Tillidsmand, der forestaar den tekn. Ledelse af en Del af et Bogtrykkeri|0726
|Faktori, Handelsetablissement i fjernere, navnlig oversøiske og ukultiverede Lande|0726
|Faktorivægt (eng. Factory weight), en siden 1787 i britisk Ostindien, særlig Kalkutta, benyttet Handelsvægt|0726
|Faktotum (lat. fac totum *c: gør alt), den, der for en anden kan udføre alt; den fuldt ud paalidelige Stedfortræder|0726
|Faktum, d. s. s. factum.|0726
|Faktura kaldes den Regning over Varer, som ved en Distanceforretning tilstilles Køberen samtidig med Varernes Afsendelse|0726
|Fakturabog, i Bogholderi en Bibog, som indeholder Afskrifter af indgaaende ell. udgaaende Fakturaer.|0726
|fakultativ (lat.), overladt til ens fri Villie, frivillig, valgfri, vilkaarlig, i Modsætning til obligatorisk.|0726
|fakultativ (bot.) er et dels om saadanne Saprofytter anvendt Udtryk, der en Tid lang kan leve som Parasitter (*c: Snyltere)|0726
|fakultative Tog er Betegnelsen for ikke køreplanmæssige Tog, der kan indlægges efter Behov|0726
|Fakultet (lat. facultas), egl. Evne, Fuldmagt, bruges nu som Betegnelse for de forsk. Afdelinger, i hvilke et Univ. inddeles|0726
|Fakultet (mat.) kaldes Produktet af et Antal paa hinanden flg. positive hele Tal fra l opefter|0726
|Fakultetsresponsum, se Responsum.|0726
|Fal (arab. *c: Varsel) er Betegnelsen for de forsk. Maader, hvorpaa Araberne søger at udgranske fremtidige Begivenheder|0726-0727
|Falaikos, gr. Epigramdigter, efter hvem det falækiske Versemaal (Hendekasyllaber, ellevestavelsede Vers) har Navn|0727
|Falaise, By i det nordvestlige Frankrig, Dept Calvados (Normandiet), 34 km SØ. f. Caen ved Dives' lille Tilløb Ante|0727
|Falaises *c: Klippe, et alm. Navn,  men særlig om de stejle Kridt- og Kalkstensklipper, der findes ved den fr. Nordkyst|0727
|Falaka, se Bastonnade.|0727
|Falalella (ital.), en Art Folkevise, kaldet saaledes efter sit Omkvæd|0727
|Falander, Ida, sv. Xylograf, (1842- )|0727
|Falanks (gr., Flertal Falanger), et Finger- ell. Taaled (se Fingre).|0727
|Falanks, en tæt sluttet Formation, særlig anvendt af Grækerne|0727
|Falarica (lat.), en Pil, der var omviklet med Værk, gennemtrængt med Beg, og som antændtes|0727
|Falaris, Enehersker i Agrigent (Akragas), c. 550 f. Kr.|0727
|Falasja, »Abessiniske Jøder«, se Abessinien.|0727
|Falat, Julian, polsk Genremaler, (1853- )|0727
|Falb, Rudolf, Østerrigsk Forf., (1838- )|0727-0728
|Falbe, en fra Tyskland stammende Slægt|0728
|Falbe, Christian Frederik, dansk Diplomat, (1828-1896)|0728
|Falbe, Hans Hagerup, norsk Statsraad og Musiker, (1772-1830)|0728
|Falbe-Hansen, Ida, dansk Litteratur- og Sprogforsker, (1849- )|0728
|Falbe-Hansen, Vigand Andreas, dansk Nationaløkonom, (1841- )|0728-0729
|Falbelad, rynket Garnering, som i 17. Aarh.'s sidste Halvdel anbragtes paa Damers Akselskærf, Trøjer, Over- og Underskørt|0729
|Falbygden kaldes den frugtbare Højslette mellem Billingen og Falköping i Vestergotland i Sverige.|0729
|Falcâo, Christovam, portug. Digter i 16. Aarh.|0729
|Falcaria, se Seglblad.|0729
|falces (lat., Flertal af falx, Segl), Høstredskab, som anvendtes til at skære Sæden|0729
|Falcidia quarta (lat.). se Falcidisk Lov.|0729
|Falcidisk Lov. at der altid blev 1/4 tilovers til Arvingen|0729
|Falciu, Faltschi, By i Kongeriget Rumænien, Landskab Moldau, ligger  paa højre Bred af Pruth, 36 km S. f. Hussi|0729
|Falck, Anton Reinhard, holl. Statsmand (1777-1843)|0729
|Falck, Jeremias, tysk Kobberstikker og Raderer,(1620-1677).|0730
|Falck, Niels Nicolai, en af Slesvigholsteinismens Grundlæggere, (1784-1850)|0730
|Falckenstein, se Vogel von F.|0730
|Falckenthal, Tobias Friedrich, dansk Kirurg, (1754-1820)|0730
|Falck's Redningskorps, se Redningskorpset.|0730
|Falco, se Falke.|0730
|Falcon, Stat i den sydamer. Republik Venezuela, SØ. f. Maracaibo-Bugten|0730
|Falcone, Aniello, ital. Maler, (1600-1656)|0730
|Falconer, Hugh, skotsk Palæontolog og Botaniker (1808-65)|0730-0731
|Falconer, Jon Keith, se Dansk Kirke-Mission i Arabien.|0731
|Falconer, William, skotsk Digter (1732-69)|0731
|Falconet [falkå'næ], Étienne Maurice, fr. Billedhugger, (1716-1791)|0731
|Falconetti(o), Gian Maria, ital. Maler og Arkitekt, (c.1468-f.1540)|0731
